clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C6,13,182,25,59.09364318847656,6.629674911499023
E7.5-R1-C2,E7.5-R2-C6,14,182,25,50.49980545043945,5.409888744354248
E7.5-R1-C2,E7.5-R2-C6,15,182,25,46.865692138671875,5.121949195861816
E7.5-R1-C2,E7.5-R2-C6,16,182,25,30.22074317932129,3.865354061126709
E7.5-R1-C2,E7.5-R2-C6,17,182,25,60.87760925292969,6.704543590545654
E7.5-R1-C2,E7.5-R2-C6,18,182,25,41.929176330566406,5.096460819244385
E7.5-R1-C2,E7.5-R2-C6,19,182,25,45.433555603027344,5.76554012298584
E7.5-R1-C2,E7.5-R2-C6,20,182,25,35.314666748046875,4.297806262969971
E7.5-R1-C2,E7.5-R2-C6,21,182,25,39.57820129394531,4.320742607116699
E7.5-R1-C2,E7.5-R2-C6,22,182,25,35.090126037597656,4.102293014526367
E7.5-R1-C2,E7.5-R2-C6,23,182,25,41.71318054199219,5.336379051208496
E7.5-R1-C2,E7.5-R2-C6,24,182,25,47.068336486816406,5.567480087280273
E7.5-R1-C2,E7.5-R2-C5,0,182,47,49.788291931152344,7.014405250549316
E7.5-R1-C2,E7.5-R2-C5,1,182,47,18.57965850830078,3.659095525741577
E7.5-R1-C2,E7.5-R2-C5,2,182,47,33.024070739746094,4.332730293273926
E7.5-R1-C2,E7.5-R2-C5,3,182,47,81.49183654785156,9.283182144165039
E7.5-R1-C2,E7.5-R2-C5,4,182,47,46.993309020996094,6.874374866485596
E7.5-R1-C2,E7.5-R2-C5,5,182,47,51.77019119262695,6.706550598144531
E7.5-R1-C2,E7.5-R2-C5,6,182,47,47.52363204956055,5.705071926116943
E7.5-R1-C2,E7.5-R2-C5,7,182,47,37.88885498046875,5.500162601470947
E7.5-R1-C2,E7.5-R2-C5,8,182,47,72.96763610839844,8.523565292358398
E7.5-R1-C2,E7.5-R2-C5,9,182,47,54.07575225830078,7.174568176269531
E7.5-R1-C2,E7.5-R2-C5,10,182,47,64.53373718261719,7.753904819488525
E7.5-R1-C2,E7.5-R2-C5,11,182,47,41.25389862060547,5.635221004486084
E7.5-R1-C2,E7.5-R2-C5,12,182,47,44.604576110839844,5.743259429931641
E7.5-R1-C2,E7.5-R2-C5,13,182,47,46.249366760253906,5.43842887878418
E7.5-R1-C2,E7.5-R2-C5,14,182,47,67.8040542602539,6.830380439758301
E7.5-R1-C2,E7.5-R2-C5,15,182,47,42.523773193359375,5.826330184936523
E7.5-R1-C2,E7.5-R2-C5,16,182,47,42.25936508178711,5.23734188079834
E7.5-R1-C2,E7.5-R2-C5,17,182,47,32.12537384033203,4.988757133483887
